name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.70909079279528,106.893560723681",2019-12-29,30,19,25.6,35.8,19,28.1,23.4,88.4,0.16,100,8.33,rain,0,0,,14.8,202.5,1009.9,56.6,6.2,231.2,20.1,8,,2019-12-29T05:38:56,2019-12-29T18:09:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2019-12-30,32.3,19.7,27.1,39.7,19.7,30.8,23.5,82,48.86,100,4.17,rain,0,0,,14.1,217.8,1010.4,51.6,6.2,245.5,21.1,9,,2019-12-30T05:39:27,2019-12-30T18:09:52,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2019-12-31,30.7,19.5,25.6,37.7,19.5,28.5,23.5,88.7,49.13,100,20.83,rain,0,0,29.5,22.3,246.3,1010.4,63.1,5.4,154.7,13.5,6,,2019-12-31T05:39:58,2019-12-31T18:10:18,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-01,29,19.2,24.4,38.2,19.2,26.3,23.1,92.9,131.3,100,29.17,rain,0,0,,27.7,282.1,1011.8,55.3,4.1,112,9.5,4,,2020-01-01T05:40:29,2020-01-01T18:10:44,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-02,31,19.5,25,36.2,19.5,26.8,22.6,87.5,10.18,100,25,rain,0,0,,14.7,270.9,1012.1,65.3,5.6,186.9,16,7,,2020-01-02T05:41:00,2020-01-02T18:11:09,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-03,30.7,19.5,25.7,36.9,19.5,28.1,23,85.6,0.88,100,12.5,rain,0,0,,14.8,278.3,1010.4,61.9,6.5,167.4,14.5,6,,2020-01-03T05:41:31,2020-01-03T18:11:34,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-04,30.7,19.8,25.6,36.9,19.8,27.9,22.9,85.6,5.47,100,12.5,rain,0,0,,19.7,288.3,1008.7,56.5,5.8,202,17.7,7,,2020-01-04T05:42:02,2020-01-04T18:11:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-05,29,19.8,24.8,34.2,19.8,26.2,22.9,89.6,1.32,100,16.67,rain,0,0,,14.7,277.7,1008.8,69.1,5.7,159.5,13.7,5,,2020-01-05T05:42:33,2020-01-05T18:12:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-06,29.7,20,24.9,35.6,20,26.4,23.1,90.5,24.66,100,25,rain,0,0,,18.4,257.1,1009.1,55.1,4.6,212.9,18.2,7,,2020-01-06T05:43:03,2020-01-06T18:12:44,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-07,30.7,19.8,25.2,36.9,19.8,27.3,23.1,88.7,6.75,100,25,rain,0,0,,19.9,265.6,1008.6,59.9,5.1,195.5,16.8,7,,2020-01-07T05:43:34,2020-01-07T18:13:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-08,29.7,20,25.2,34.6,20,27.2,22.7,86.6,10.8,100,12.5,rain,0,0,,24.1,256.2,1008.2,60.1,4.7,239,20.6,8,,2020-01-08T05:44:04,2020-01-08T18:13:28,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-09,29,19.6,24.7,34.2,19.6,26.3,22.9,90.3,58.46,100,33.33,rain,0,0,40.7,25.9,270.1,1007.8,60.2,4.2,214,18.7,8,,2020-01-09T05:44:34,2020-01-09T18:13:49,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-10,27.7,19.2,23.7,31.6,19.2,24.1,22.1,91.2,2.38,100,29.17,rain,0,0,,27.7,268,1008.4,74.4,5.4,235.4,20.4,8,,2020-01-10T05:45:04,2020-01-10T18:14:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-11,31,18.8,24.8,35.3,18.8,26.2,21.8,84.3,0.18,100,12.5,rain,0,0,,31.7,272.8,1008.7,66.4,6.3,199.7,17.2,8,,2020-01-11T05:45:33,2020-01-11T18:14:28,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-12,32,19.3,26.1,37.9,19.3,28.1,21.8,78.1,0,0,0,,0,0,42.5,18.4,266.6,1007.9,55.3,7.9,314.5,27.3,10,,2020-01-12T05:46:02,2020-01-12T18:14:46,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-13,30.7,19.2,25.5,38.1,19.2,27.7,22.5,84.1,2.26,100,20.83,rain,0,0,,19.2,273.8,1007.6,65.8,6.5,309.7,26.5,10,,2020-01-13T05:46:31,2020-01-13T18:15:04,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-14,31.7,18.8,26.2,36.9,18.8,28.2,22.6,81.7,0.74,100,12.5,rain,0,0,,24.1,272.5,1008.6,58.9,7.4,222.3,19,7,,2020-01-14T05:46:59,2020-01-14T18:15:20,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96781099999,96749099999,96751099999,96749599999,96745099999"
"-6.70909079279528,106.893560723681",2020-01-15,30.7,20,25.4,36.5,20,27.1,22.7,86,10.94,100,20.83,rain,0,0,,17.2,262.9,1009.5,60.2,5.7,132,11.4,5,,2020-01-15T05:47:27,2020-01-15T18:15:36,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-16,31.7,19.2,25.8,38.3,19.2,27.7,22.9,84.4,0.23,100,8.33,rain,0,0,,23.8,208.7,1010,54.2,5.4,278.3,24,10,,2020-01-16T05:47:55,2020-01-16T18:15:51,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-17,31.7,19.8,26.4,38.3,19.8,29,22.9,82,1.02,100,8.33,rain,0,0,,18.4,222.6,1010.1,55.6,6,297.5,25.9,10,,2020-01-17T05:48:22,2020-01-17T18:16:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-18,30.3,20.3,25.1,35.2,20.3,26.4,22.5,86.6,0.48,100,16.67,rain,0,0,,14.8,269.5,1010.1,62.8,5.1,206.8,18,7,,2020-01-18T05:48:48,2020-01-18T18:16:19,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-19,31.7,20.2,26.3,38.3,20.2,28.7,22.9,82.2,7.82,100,8.33,rain,0,0,,21.7,219.6,1010.3,53,5.5,279.2,24.1,10,,2020-01-19T05:49:14,2020-01-19T18:16:31,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-20,31,20.2,26.5,38.2,20.2,29.5,23.4,83.6,9.88,100,25,rain,0,0,,14.8,219,1010.8,62.7,5.9,194.4,16.8,6,,2020-01-20T05:49:40,2020-01-20T18:16:42,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-21,30,20.2,25.5,36.2,20.2,27.7,23.3,87.8,0.12,100,8.33,rain,0,0,,16.6,186.7,1011.7,59.1,5.9,246.7,21.2,9,,2020-01-21T05:50:05,2020-01-21T18:16:53,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-22,31.3,19.8,26.2,39.2,19.8,29,23.2,84.1,0.9,100,16.67,rain,0,0,,11.7,216.8,1011.4,59,5.7,237.6,20.7,9,,2020-01-22T05:50:29,2020-01-22T18:17:02,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-23,32,20,26.3,37.9,20,29.4,23.5,85.4,44.16,100,25,rain,0,0,,18.4,267.4,1010,60.6,5.9,267.9,23.2,9,,2020-01-23T05:50:53,2020-01-23T18:17:11,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-24,27,19.5,24.6,30.6,19.5,25.1,23.4,93.2,5.41,100,29.17,rain,0,0,31.7,13.6,215.7,1009.8,60.7,4.6,231,19.9,8,,2020-01-24T05:51:16,2020-01-24T18:17:19,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-25,28.7,19.5,24.5,34.3,19.5,25.7,23.2,93.2,23.57,100,29.17,rain,0,0,,16.6,266.6,1009.9,65,4.7,177.1,15.2,7,,2020-01-25T05:51:39,2020-01-25T18:17:25,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-26,31.7,19.2,25.7,38.3,19.2,27.7,22.9,85.5,6.16,100,12.5,rain,0,0,,19.9,180.8,1008.9,51,6,271.7,23.6,10,,2020-01-26T05:52:01,2020-01-26T18:17:31,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-27,30.7,20,25.7,36.4,20,27.6,22.9,85.4,22.59,100,20.83,rain,0,0,,12.3,131.2,1009.2,60.5,6.6,231.7,20,8,,2020-01-27T05:52:22,2020-01-27T18:17:36,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-28,31.7,19.3,26.1,37.5,19.3,28.8,23.1,84.1,0.09,100,12.5,rain,0,0,,20.5,216.9,1009.6,50.2,6.3,246.4,21.2,8,,2020-01-28T05:52:43,2020-01-28T18:17:40,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-29,32.3,19.8,26.6,40.7,19.8,29.6,23.2,82.3,9.5,100,16.67,rain,0,0,,22.9,237.2,1010.2,53.2,6,192.6,16.8,7,,2020-01-29T05:53:03,2020-01-29T18:17:43,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-30,30.7,19,25.4,36.1,19,27.2,22.2,83,28.04,100,12.5,rain,0,0,,27.7,240.4,1009.9,61.2,6.8,131.2,11.4,5,,2020-01-30T05:53:22,2020-01-30T18:17:45,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-01-31,29.7,20,25.5,36.1,20,28.1,23,86.5,12.71,100,12.5,rain,0,0,,12.3,241.6,1009.7,61.1,5.5,258.4,22.3,9,,2020-01-31T05:53:41,2020-01-31T18:17:46,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-01,29,19.3,24.2,33.6,19.3,25.3,22.7,91.8,30.94,100,29.17,rain,0,0,,17.2,161.2,1009.4,69.2,5.2,149.9,13.1,5,,2020-02-01T05:53:59,2020-02-01T18:17:46,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-02,29,19.2,24.2,34.9,19.2,25.3,22.5,90.2,4.88,100,20.83,rain,0,0,,11.1,155,1011,59.2,5.4,235.2,20.2,8,,2020-02-02T05:54:16,2020-02-02T18:17:45,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-03,28,18.8,24.5,33,18.8,25.2,22.8,90.7,18.36,100,25,rain,0,0,,16.6,195.8,1011.5,64,5.7,191.7,16.5,7,,2020-02-03T05:54:33,2020-02-03T18:17:43,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-04,29,19.3,24.4,34.9,19.3,25.6,22.7,90.9,5.11,100,29.17,rain,0,0,,19.3,166.7,1010.3,67.6,5.4,232.1,20,8,,2020-02-04T05:54:49,2020-02-04T18:17:40,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-05,30.7,19.8,25.4,37.7,19.8,27.2,23.4,89.5,38.26,100,20.83,rain,0,0,,17.9,277,1009.4,54.1,4.7,135.2,11.6,5,,2020-02-05T05:55:04,2020-02-05T18:17:36,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-06,28,19.7,24.3,33,19.7,25,23.1,93.1,8.63,100,25,rain,0,0,27.7,12.1,265.9,1009.6,68.5,4.7,189.1,16.3,6,,2020-02-06T05:55:18,2020-02-06T18:17:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-07,30,19.7,24.6,35.9,19.7,26,23.1,91.8,85.43,100,16.67,rain,0,0,,16.6,225.1,1010,59.6,4.8,237,20.5,9,,2020-02-07T05:55:32,2020-02-07T18:17:26,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-08,30.3,19.5,25,35.1,19.5,26.3,22.4,86.8,39.1,100,16.67,rain,0,0,,21.7,244.3,1011.2,60.2,5.3,104.6,9.1,4,,2020-02-08T05:55:45,2020-02-08T18:17:19,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-09,30,19.3,24.5,34.1,19.3,25.3,21.9,85.7,1.44,100,25,rain,0,0,,16,259.2,1011,63.3,6.2,185.4,15.9,7,,2020-02-09T05:55:58,2020-02-09T18:17:12,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-10,33.7,21.3,27.2,38.9,21.3,29.2,22.3,75.6,0,0,0,,0,0,,20.5,237.3,1010.1,53.4,7.5,187.4,16.3,6,,2020-02-10T05:56:09,2020-02-10T18:17:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-11,34,20.3,26.8,39.4,20.3,29.1,22,76.4,0.01,100,4.17,rain,0,0,35.3,20.8,240.9,1010.8,57.2,6.8,185.6,15.8,6,,2020-02-11T05:56:20,2020-02-11T18:16:55,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-12,32.3,20,26.6,38.8,20,28.9,22.7,80,3.51,100,12.5,rain,0,0,,20.5,152.5,1011,58.2,6.4,220,19.1,8,,2020-02-12T05:56:30,2020-02-12T18:16:45,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-13,31.3,19.8,26.1,38.3,19.8,28.9,23.1,83.8,8.54,100,16.67,rain,0,0,,21,164.6,1010.2,57.9,6.1,115,10,4,,2020-02-13T05:56:40,2020-02-13T18:16:34,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-14,29.7,19,25.2,36.2,19,27.3,23.2,89.3,2.03,100,12.5,rain,0,0,,9.1,247.7,1009.7,56.6,5.1,223.2,19.3,8,,2020-02-14T05:56:49,2020-02-14T18:16:22,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-15,32.7,19.2,25.5,41.1,19.2,27.6,22.8,85.7,8.23,100,20.83,rain,0,0,,16,242.8,1010.8,56.9,5.6,138,12.1,5,,2020-02-15T05:56:57,2020-02-15T18:16:09,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-16,30.7,19.3,24.3,37.6,19.3,25.1,22.4,89.2,18.66,100,16.67,rain,0,0,,16.6,254.4,1011.2,60.9,5.2,190.1,16.4,6,,2020-02-16T05:57:05,2020-02-16T18:15:56,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-17,30,19.2,24.9,35.1,19.2,25.8,22.1,85.1,2.41,100,8.33,rain,0,0,35.3,20.4,246.3,1010.9,65.1,6.4,134.2,11.5,5,,2020-02-17T05:57:12,2020-02-17T18:15:42,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-18,30.7,19.2,24.9,36.1,19.2,26.2,22.2,86,30.8,100,16.67,rain,0,0,,22.3,275.6,1010.8,66.3,5.5,226.6,19.6,8,,2020-02-18T05:57:18,2020-02-18T18:15:27,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-19,30,19.2,24.5,36.2,19.2,26,22.6,89.6,3.58,100,20.83,rain,0,0,,24.1,290,1010.1,56.5,5.5,186.5,16,7,,2020-02-19T05:57:24,2020-02-19T18:15:11,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-20,30,19.3,24.5,35.1,19.3,25.8,22.7,90.6,100.92,100,33.33,rain,0,0,,25.9,280.2,1010.4,66.8,4.6,239.7,20.6,8,,2020-02-20T05:57:29,2020-02-20T18:14:55,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,96739099999,WIII,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-21,31,19.8,25.1,36.2,19.8,27.1,22.7,87.3,13.67,100,25,rain,0,0,,22.3,235.3,1011.5,53.9,5.6,239.7,20.7,8,,2020-02-21T05:57:33,2020-02-21T18:14:38,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-22,31.7,20,25.8,37.9,20,28.4,23.3,87.1,24.79,100,20.83,rain,0,0,,20.5,214.5,1011.8,59.6,6,236.3,20.3,8,,2020-02-22T05:57:37,2020-02-22T18:14:20,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-23,31,19.8,25.8,36.5,19.8,28.4,23.3,86.9,7.86,100,29.17,rain,0,0,46.4,27.7,234.8,1010.5,64.2,5,234.1,20.1,8,,2020-02-23T05:57:40,2020-02-23T18:14:01,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-24,30.3,19.8,25.8,36.9,19.8,29,23.4,87.3,49.47,100,29.17,rain,0,0,40.7,22.3,269.8,1009.5,66.8,5.2,199.2,17.2,7,,2020-02-24T05:57:43,2020-02-24T18:13:42,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-25,29.7,19.5,24.8,35.3,19.5,26.4,22.9,89.4,35.15,100,29.17,rain,0,0,,14.8,270.2,1010.1,69.3,5,108.2,9.5,4,,2020-02-25T05:57:45,2020-02-25T18:13:22,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-26,30.3,19.8,25.7,36.3,19.8,27.9,22.8,84.8,2.95,100,8.33,rain,0,0,,17.8,202.4,1009.5,59.2,5.7,224.3,19.5,9,,2020-02-26T05:57:46,2020-02-26T18:13:02,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-27,30,20.2,25.5,36.9,20.2,28,23.6,89.4,3.18,100,25,rain,0,0,,14.1,214.4,1009.2,66.2,5.9,209.6,18,7,,2020-02-27T05:57:47,2020-02-27T18:12:41,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-28,31,20.2,25.5,38.1,20.2,27.8,23.2,87.9,8.87,100,33.33,rain,0,0,,15.4,190.2,1008.5,59.5,5.4,188.9,16.4,6,,2020-02-28T05:57:47,2020-02-28T18:12:19,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-02-29,28.3,20,25.1,33.4,20,27,23.2,89.3,31.63,100,20.83,rain,0,0,,13.5,217.4,1007.8,52.7,5.2,249.5,21.5,9,,2020-02-29T05:57:47,2020-02-29T18:11:57,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
"-6.70909079279528,106.893560723681",2020-03-01,30,20.8,25.4,36.2,20.8,27.3,23.7,90.6,35.63,100,33.33,rain,0,0,,14.2,253.8,1008.5,60.8,4.7,140.1,12,6,,2020-03-01T05:57:47,2020-03-01T18:11:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96781099999,96749099999,96751099999,96745099999,96749599999"
