name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.483167551,106.955124",2019-12-29,30,23.3,26.8,35.6,23.3,29.6,24.3,86.5,5.07,100,8.33,rain,0,0,,14.8,196.9,1010.4,52,5.7,231.2,20.1,8,,2019-12-29T05:39:05,2019-12-29T18:08:46,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2019-12-30,32.6,23.3,28.3,40.1,23.3,32.5,24.4,79.8,22.31,100,4.17,rain,0,0,,14.1,218.4,1010.7,47.5,5.8,245.5,21.1,9,,2019-12-30T05:39:36,2019-12-30T18:09:13,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2019-12-31,30.8,23.2,27,37.7,23.2,30.2,24.5,86.3,29.52,100,20.83,rain,0,0,29.5,22.3,234.8,1010.9,56.4,5.4,154.7,13.5,6,,2019-12-31T05:40:07,2019-12-31T18:09:40,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-01,29,23.4,25.8,38.2,23.4,27.7,24.3,91.6,126.33,100,29.17,rain,0,0,,27.7,279.6,1012.2,61.5,4.4,112,9.5,4,,2020-01-01T05:40:38,2020-01-01T18:10:06,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-02,31,23,26.6,36.3,23,28.4,23.6,84.6,17.34,100,25,rain,0,0,,14,274.3,1012.6,60.9,5.5,186.9,16,7,,2020-01-02T05:41:09,2020-01-02T18:10:31,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-03,30.8,23.3,27.2,37.2,23.3,30.1,24,83,3.03,100,16.67,rain,0,0,,14.8,277.4,1010.7,57.5,6.2,167.4,14.5,6,,2020-01-03T05:41:39,2020-01-03T18:10:56,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-04,30.8,24.2,27.1,37.2,24.2,29.7,24,83.5,2.74,100,16.67,rain,0,0,,19.1,286.3,1009.1,55.3,5.9,202,17.7,7,,2020-01-04T05:42:10,2020-01-04T18:11:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-05,29,23.7,26.2,34.4,23.7,27.6,24.1,88.3,11.59,100,25,rain,0,0,,14,275.6,1009.2,64.7,5.5,159.5,13.7,5,,2020-01-05T05:42:41,2020-01-05T18:11:44,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-06,29.4,23.2,26.2,35.2,23.2,28,24.2,88.9,17.41,100,25,rain,0,0,,17.6,263.8,1009.5,56.2,4.7,212.9,18.2,7,,2020-01-06T05:43:12,2020-01-06T18:12:07,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-07,30.8,23.2,26.6,37.2,23.2,29,24,86.4,8.4,100,25,rain,0,0,,20.9,267.6,1008.9,57.7,5.3,195.5,16.8,7,,2020-01-07T05:43:42,2020-01-07T18:12:29,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-08,29.8,23.9,26.7,34.8,23.9,28.8,23.7,84.1,5.89,100,12.5,rain,0,0,,24.1,252.9,1008.4,58.8,5.1,239,20.6,8,,2020-01-08T05:44:12,2020-01-08T18:12:51,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-09,29,23.8,26.1,34.4,23.8,27.8,24,88.4,45.54,100,33.33,rain,0,0,40.7,25.9,267.6,1008.2,64.8,4.7,214,18.7,8,,2020-01-09T05:44:42,2020-01-09T18:13:11,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-10,27.8,22.1,24.7,32.1,22.1,25.2,23.2,91.3,19.28,100,33.33,rain,0,0,,27.7,276.6,1009.1,69.9,5.1,235.4,20.4,8,,2020-01-10T05:45:11,2020-01-10T18:13:32,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-11,31,22.3,26.1,35.7,22.3,27.8,23,84.2,2.43,100,16.67,rain,0,0,,31.7,276.2,1009.3,62,6,199.7,17.2,8,,2020-01-11T05:45:41,2020-01-11T18:13:51,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-12,32,23,27.3,37.9,23,29.8,22.9,77.4,0,0,0,,0,0,42.5,18.4,272.2,1008.3,50.4,7.4,314.5,27.3,10,,2020-01-12T05:46:09,2020-01-12T18:14:09,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-13,30.8,23.2,27,38.5,23.2,29.5,23.6,82,3.43,100,20.83,rain,0,0,,19.8,272.7,1008.2,58.9,6.3,309.7,26.5,10,,2020-01-13T05:46:38,2020-01-13T18:14:27,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-14,31.8,23.2,27.6,37.3,23.2,30.1,23.5,79.6,1.35,100,12.5,rain,0,0,,25.6,298.8,1009.1,53.8,7,222.3,19,7,,2020-01-14T05:47:06,2020-01-14T18:14:44,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIHH,WIII,96739099999,96749099999,96751099999,96749599999,96745099999"
"-6.483167551,106.955124",2020-01-15,30.8,23.1,26.7,37,23.1,28.8,23.7,84.1,21.69,100,20.83,rain,0,0,,17.7,260.4,1009.9,57.8,5.7,132,11.4,5,,2020-01-15T05:47:34,2020-01-15T18:15:00,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-16,31.8,23.7,27,38.7,23.7,29.5,23.9,83.5,0.57,100,8.33,rain,0,0,,27.2,184.5,1010.4,50.6,4.9,278.3,24,10,,2020-01-16T05:48:01,2020-01-16T18:15:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-17,31.8,23.9,27.7,38.7,23.9,31,24,80.8,1.26,100,8.33,rain,0,0,,18.4,218.6,1010.5,52.1,5.6,297.5,25.9,10,,2020-01-17T05:48:28,2020-01-17T18:15:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-18,30.2,23.4,26.4,35.2,23.4,27.9,23.4,84.5,15.85,100,16.67,rain,0,0,,14.8,255.3,1010.6,57.8,4.9,206.8,18,7,,2020-01-18T05:48:54,2020-01-18T18:15:43,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-19,31.8,23,27.6,38.7,23,30.6,23.8,80.5,3.57,100,8.33,rain,0,0,,22,222.6,1010.6,47,5.2,279.2,24.1,10,,2020-01-19T05:49:20,2020-01-19T18:15:56,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-20,31,24.6,27.8,38.6,24.6,31.2,24.4,82.6,5.16,100,29.17,rain,0,0,,14.8,210.4,1011.1,57.2,5.8,194.4,16.8,6,,2020-01-20T05:49:45,2020-01-20T18:16:07,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-21,30,23.7,26.8,36.2,23.7,29.3,24.2,85.9,0.61,100,12.5,rain,0,0,31.7,16.6,178.2,1012.2,54.5,6,246.7,21.2,9,,2020-01-21T05:50:10,2020-01-21T18:16:18,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-22,31.6,23.8,27.6,39.8,23.8,31,24.3,82.8,1.36,100,16.67,rain,0,0,,11.5,218.9,1011.5,52.5,5.3,237.6,20.7,9,,2020-01-22T05:50:34,2020-01-22T18:16:28,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-23,32,24.3,27.7,37.9,24.3,31.3,24.6,84,44.23,100,20.83,rain,0,0,,18.4,227.8,1010.4,52.5,5.6,267.9,23.2,9,,2020-01-23T05:50:58,2020-01-23T18:16:37,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-24,27,23.7,25.6,30.6,23.7,26.2,24.5,93.6,67.42,100,25,rain,0,0,31.7,13,230.3,1010.3,62.1,4.5,231,19.9,8,,2020-01-24T05:51:21,2020-01-24T18:16:45,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-25,28.8,23.7,25.8,34.8,23.7,27.1,24.4,92.4,27.7,100,33.33,rain,0,0,,16.6,256,1010.5,68.9,4.8,177.1,15.2,7,,2020-01-25T05:51:43,2020-01-25T18:16:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-26,31.8,22.8,27.1,38.7,22.8,29.7,24,83.8,2.93,100,12.5,rain,0,0,,20.9,152.2,1009.3,50.3,5.8,271.7,23.6,10,,2020-01-26T05:52:05,2020-01-26T18:16:58,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-27,30.8,23.3,27.1,37,23.3,29.6,23.8,82.8,13.75,100,20.83,rain,0,0,,11.8,138.3,1009.6,56.7,6.2,231.7,20,8,,2020-01-27T05:52:26,2020-01-27T18:17:03,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-28,31.8,23.7,27.6,37.7,23.7,30.9,24.1,81.9,0.55,100,4.17,rain,0,0,,20.5,203,1009.9,47.3,6,246.4,21.2,8,,2020-01-28T05:52:46,2020-01-28T18:17:07,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-29,32.6,24.3,28.2,40.7,24.3,31.9,24.5,81.4,4.64,100,16.67,rain,0,0,,23.5,229.1,1010.5,47.4,5.8,192.6,16.8,7,,2020-01-29T05:53:06,2020-01-29T18:17:10,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-30,30.8,22,26.6,36.3,22,28.8,23.1,81.5,30.33,100,12.5,rain,0,0,,27.7,234.9,1010.4,56.7,6.4,131.2,11.4,5,,2020-01-30T05:53:25,2020-01-30T18:17:12,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-01-31,29.8,24.4,27.1,36.6,24.4,30,24.3,85.3,5.83,100,12.5,rain,0,0,,11.2,243.2,1010.1,53.9,5.3,258.4,22.3,9,,2020-01-31T05:53:43,2020-01-31T18:17:13,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-01,29,23,25.3,33.6,23,26.5,23.9,92.1,59.32,100,29.17,rain,0,0,,17.7,141.3,1010.3,66.3,4.9,149.9,13.1,5,,2020-02-01T05:54:01,2020-02-01T18:17:14,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-02,29,22.9,25.6,35.2,22.9,26.8,23.7,89.8,39.57,100,25,rain,0,0,,12.7,158.3,1011.4,64.9,5.5,235.2,20.2,8,,2020-02-02T05:54:18,2020-02-02T18:17:13,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-03,28.4,22.6,25.7,34.1,22.6,26.4,24.1,91.6,21.99,100,25,rain,0,0,,16.6,178,1011.8,58.9,5.2,191.7,16.5,7,,2020-02-03T05:54:35,2020-02-03T18:17:12,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-04,29,23,25.8,35.2,23,27.3,23.9,89.6,14.23,100,20.83,rain,0,0,,20.6,191,1010.8,63.2,5.6,232.1,20,8,,2020-02-04T05:54:50,2020-02-04T18:17:09,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-05,30.8,24.1,26.6,38.3,24.1,28.8,24.5,88.5,19.42,100,20.83,rain,0,0,,17.3,276.3,1009.9,55.7,4.9,135.2,11.6,5,,2020-02-05T05:55:05,2020-02-05T18:17:06,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-06,28,23.3,25.5,33.2,23.3,26.3,24.2,92.4,4.59,100,29.17,rain,0,0,27.7,10,262.9,1010.1,69.5,4.5,189.1,16.3,6,,2020-02-06T05:55:19,2020-02-06T18:17:01,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-07,30.4,23.3,26,36.7,23.3,27.6,24.4,91.4,49.7,100,20.83,rain,0,0,,17.4,229.3,1010.6,58.2,4.7,237,20.5,9,,2020-02-07T05:55:33,2020-02-07T18:16:56,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-08,30.6,22.5,26.2,35.3,22.5,27.9,23.4,85.5,49.93,100,16.67,rain,0,0,,22,243.6,1011.7,56.4,5.3,104.6,9.1,4,,2020-02-08T05:55:45,2020-02-08T18:16:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-09,30,22.2,25.6,34.6,22.2,26.7,22.9,85.6,9.23,100,25,rain,0,0,,15.1,254.6,1011.3,58,5.8,185.4,15.9,7,,2020-02-09T05:55:57,2020-02-09T18:16:43,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-10,33.8,24.8,28,39.1,24.8,30.5,23,75.3,0,0,0,,0,0,,20.5,236.5,1010.2,50.8,6.9,187.4,16.3,6,,2020-02-10T05:56:09,2020-02-10T18:16:35,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-11,34,23.7,28.2,39.4,23.7,31,23.1,75.4,0.41,100,4.17,rain,0,0,35.3,19.8,241.2,1011.1,52.6,6.2,185.6,15.8,6,,2020-02-11T05:56:20,2020-02-11T18:16:26,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-12,32.6,23.6,28,39,23.6,31,23.5,77.3,25.78,100,12.5,rain,0,0,,20.5,162.5,1011.4,52.3,6.2,220,19.1,8,,2020-02-12T05:56:29,2020-02-12T18:16:16,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-13,31.6,24.4,27.6,38.7,24.4,30.9,24.2,82.3,7.75,100,16.67,rain,0,0,,21.6,155.1,1010.5,53.3,5.7,115,10,4,,2020-02-13T05:56:39,2020-02-13T18:16:06,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-14,29.9,23.6,26.5,36.8,23.6,28.6,24.3,88.2,2.34,100,8.33,rain,0,0,,7.9,257.2,1010.1,51.7,4.9,223.2,19.3,8,,2020-02-14T05:56:47,2020-02-14T18:15:54,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-15,32.8,23.5,27,41.6,23.5,29.5,24,84.4,6.32,100,12.5,rain,0,0,,15.4,249.6,1011.1,50.7,4.8,138,12.1,5,,2020-02-15T05:56:55,2020-02-15T18:15:42,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-16,30.8,22.9,25.5,37.5,22.9,26.5,23.5,89.1,32.83,100,16.67,rain,0,0,46.4,16.6,251.8,1011.6,60.1,4.8,190.1,16.4,6,,2020-02-16T05:57:02,2020-02-16T18:15:29,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-17,30,22.7,26.1,35.1,22.7,27.3,23.2,84.7,7.54,100,8.33,rain,0,0,35.3,21.2,246.3,1011.3,60.9,5.9,134.2,11.5,5,,2020-02-17T05:57:09,2020-02-17T18:15:15,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-18,30.8,23.2,26.3,36.3,23.2,27.8,23.3,84.2,19.15,100,25,rain,0,0,,22.3,284.4,1011.2,61.5,5.4,226.6,19.6,8,,2020-02-18T05:57:15,2020-02-18T18:15:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-19,30,22.9,26,36.2,22.9,27.7,23.7,87.5,13.29,100,25,rain,0,0,,24.1,288,1010.7,56.9,5.6,186.5,16,7,,2020-02-19T05:57:20,2020-02-19T18:14:45,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-20,30,22.8,25.9,35.1,22.8,27.3,23.7,88.4,77.96,100,29.17,rain,0,0,,25.9,280,1010.8,69.9,4.9,239.7,20.6,8,,2020-02-20T05:57:25,2020-02-20T18:14:29,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,96739099999,WIII,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-21,31,22.7,26.6,36.3,22.7,28.8,23.7,85.2,12,100,25,rain,0,0,,22.3,234,1011.6,57,5.9,239.7,20.7,8,,2020-02-21T05:57:29,2020-02-21T18:14:12,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-22,31.8,23.2,27.3,37.9,23.2,30.3,24.2,84.2,37.06,100,25,rain,0,0,,20.5,188.6,1012,55.2,6.2,236.3,20.3,8,,2020-02-22T05:57:32,2020-02-22T18:13:55,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-23,31,24.1,27.4,36.5,24.1,30.3,24.3,83.9,38.39,100,29.17,rain,0,0,46.4,27.7,232.5,1010.7,68.4,5.5,234.1,20.1,8,,2020-02-23T05:57:35,2020-02-23T18:13:37,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-24,30.2,24.8,27.5,37,24.8,31,24.6,84.7,29.18,100,29.17,rain,0,0,40.7,22.3,270.3,1009.8,66.8,5.5,199.2,17.2,7,,2020-02-24T05:57:37,2020-02-24T18:13:18,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-25,29.8,23.3,26.3,35.7,23.3,28,23.9,87.4,105.61,100,29.17,rain,0,0,33.5,14.8,269.3,1010.4,68.7,5.1,108.2,9.5,4,,2020-02-25T05:57:39,2020-02-25T18:12:58,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-26,30.6,23.2,27.2,36.3,23.2,29.9,23.7,81.9,1.34,100,8.33,rain,0,0,,18,188.3,1009.9,52.9,5.7,224.3,19.5,9,,2020-02-26T05:57:40,2020-02-26T18:12:38,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-27,30,23.9,27,37.7,23.9,29.9,24.7,88,17.11,100,25,rain,0,0,,13.6,199.8,1009.6,61.4,5.8,209.6,18,7,,2020-02-27T05:57:41,2020-02-27T18:12:18,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-28,31,23.6,26.8,38.5,23.6,29.4,24.2,86.4,15.83,100,29.17,rain,0,0,,14.8,202.9,1008.9,63.4,5.5,188.9,16.4,6,,2020-02-28T05:57:41,2020-02-28T18:11:56,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-02-29,28.6,23.8,26.4,33.9,23.8,28.5,24.3,88.1,22.38,100,25,rain,0,0,,12.5,221,1008.2,53.6,5.2,249.5,21.5,9,,2020-02-29T05:57:40,2020-02-29T18:11:34,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-03-01,30,23.4,26.6,36.2,23.4,28.8,24.6,89.4,42.69,100,33.33,rain,0,0,,12.9,258.1,1008.8,63.4,4.7,140.1,12,6,,2020-03-01T05:57:39,2020-03-01T18:11:12,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-03-02,32.8,23.5,27.6,39,23.5,30.3,23.9,81.3,5.15,100,12.5,rain,0,0,35.3,16.6,205.3,1009.1,51.1,5.9,247.7,21.4,9,,2020-03-02T05:57:38,2020-03-02T18:10:49,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-03-03,32.6,24.4,28,38.8,24.4,31.3,23.9,79.4,5.15,100,8.33,rain,0,0,,22.3,255.3,1009.7,48,5.6,283.1,24.5,10,,2020-03-03T05:57:36,2020-03-03T18:10:26,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.483167551,106.955124",2020-03-04,31.6,23.8,26.8,38.5,23.8,29.4,23.9,84.5,3.28,100,16.67,rain,0,0,,24.1,256.3,1009.9,65,5.2,130.8,11.3,5,,2020-03-04T05:57:34,2020-03-04T18:10:02,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
